FAC_ID,FAC_NAME,OP_BA_ID,OPERATOR,SUB_CODE,FAC_SUB_TY,LIC_NUMBER,LIC_TYPE,EDCT_TYPE,EDCT_DESCR,LIC_BA_ID,LICENSEE,FAC_STATUS,LOC_SOURCE,icon_url
ABBT8870214,Chauvco Swan Hills 4-26,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0136096",W,,,A7G2,Ridgeback Resources Inc.,Active,Well Licence,./0.png
ABBT8870216,Wincan Swan Hills 10-24,A6CG,Highwood Oil Company Ltd.,"311",Crude Oil Single-Well Battery,"0135686",W,,,A6CG,Highwood Oil Company Ltd.,Active,Well Licence,./0.png
ABBT8870219,First Dev Swanh 10-25,0XF2,Dark Energy Ltd.,"311",Crude Oil Single-Well Battery,"0136330",W,,,0XF2,Dark Energy Ltd.,Active,Well Licence,./0.png
ABBT0134901,Arcan 11-27 Hz Swanh 11-28-068-09,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0452319",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT9980599,Cutbank Swan Hills 6-29,"0D24",Prince Resource Corporation,"311",Crude Oil Single-Well Battery,"0111657",W,,,"0D24",Prince Resource Corporation,Suspended,Well Licence,./0.png
ABBT0140302,Aspenleaf 15-4 Hz 03 Swanh 3-10-68-8,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0475082",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0140396,Aspenleaf 15-4 Hz Swanh 14-3-68-8,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0466499",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0147503,Aspenleaf 100hz Swanh 3-29-68-09,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0483065",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0156123,Ethel Swb 03/02-10-68-08w5,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0492660",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Active,Well Licence,./0.png
ABBT0155849,Morse River 16-04-067-09w5 Swb,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0495295",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Active,Well Licence,./0.png
ABBT8870011,Cwcp Swan Hills 10-24-69-10,0LP6,Cwcp Resources Inc.,"311",Crude Oil Single-Well Battery,"0082979",W,,,A73W,Enercapita Energy Ltd.,Suspended,Well Licence,./0.png
ABBT8870014,Colin Swan Hills 10-17,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0075874",W,,,A7G2,Ridgeback Resources Inc.,Active,Well Licence,./0.png
ABBT8870015,Shell Swan Hills 10-6-69-6,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0084486",W,,,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT8870023,Chauvco Swan Hills 5-15,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0056214",W,,,A7G2,Ridgeback Resources Inc.,Active,Well Licence,./0.png
ABBT8870026,First Dev Swanh,0XF2,Dark Energy Ltd.,"311",Crude Oil Single-Well Battery,"0105684",W,,,0XF2,Dark Energy Ltd.,Active,Well Licence,./0.png
ABBT8870042,Surat Swann Hills 10-33-68=10,A2PZ,KinMerc Oil & Gas Inc.,"311",Crude Oil Single-Well Battery,"0111745",W,,,A2PZ,KinMerc Oil & Gas Inc.,Suspended,Well Licence,./0.png
