X,Y,X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,auxiliary_,icon_url
-115.447319,54.750461,,,"0017565",Canadian Natural Resources Limited(0HE9),54.750461000000001,-115.447318999999993,1257.900000000000091,1253.900000000000091,02:33:06.000,BWL,J,Issued,12 Aug 1959,,,
-115.459992,54.786409,,,"0017573",Canadian Natural Resources Limited(0HE9),54.786408999999999,-115.459992000000000,1043.599999999999909,1040.000000000000000,10:09:06.000,BWL,J,Suspension,06 Sep 2019,,,
-115.447315,54.757699,,,"0017587",Canadian Natural Resources Limited(0HE9),54.757699000000002,-115.447315000000003,1278.299999999999955,1274.400000000000091,10:33:06.000,BWL,J,Issued,17 Aug 1959,,,
-115.44733,54.736007,,,"0017616",Canadian Natural Resources Limited(0HE9),54.736007000000001,-115.447329999999994,1175.599999999999909,1172.000000000000000,02:28:06.000,BWL,J,Suspension,10 Oct 2006,,,
-115.50972,54.757648,,,"0017617",Canadian Natural Resources Limited(0HE9),54.757648000000003,-115.509720000000002,1287.799999999999955,1284.099999999999909,12:31:06.000,BWL,J,Issued,21 Aug 1959,,,
-115.43458,54.830567,,,"0017626",Canadian Natural Resources Limited(0HE9),54.830567000000002,-115.434579999999997,978.700000000000045,974.799999999999955,10:27:06.000,BWL,J,Suspension,30 Sep 2010,,,
-115.473287,54.816103,,,"0017659",Canadian Natural Resources Limited(0HE9),54.816102999999998,-115.473286999999999,981.799999999999955,978.399999999999977,12:21:06.000,BWL,J,Issued,28 Aug 1959,,,
-115.459759,54.743223,,,"0017692",Canadian Natural Resources Limited(0HE9),54.743223000000000,-115.459759000000005,1208.799999999999955,1205.200000000000045,12:28:06.000,BWL,J,Suspension,03 Jun 2016,,,
-115.484266,54.757524,,,"0017693",Canadian Natural Resources Limited(0HE9),54.757523999999997,-115.484266000000005,1280.500000000000000,1276.200000000000045,12:32:06.000,BWL,J,Suspension,15 Apr 2016,,,
-115.484978,54.743215,,,"0017694",Canadian Natural Resources Limited(0HE9),54.743214999999999,-115.484977999999998,1219.500000000000000,1215.200000000000045,12:29:06.000,BWL,J,Suspension,31 Jan 2011,,,
-115.447879,54.808853,,,"0017696",Canadian Natural Resources Limited(0HE9),54.808852999999999,-115.447879000000000,944.000000000000000,940.000000000000000,04:22:06.000,BWL,J,Abandoned,15 Mar 2020,,,./1.png
-115.40936,54.75808,,,"0017714",Canadian Natural Resources Limited(0HE9),54.758080000000000,-115.409360000000007,1171.700000000000045,1171.700000000000045,12:35:06.000,BWL,J,Suspension,21 Nov 2007,,,
-115.40936,54.75808,,,"0017714",Canadian Natural Resources Limited(0HE9),54.758080000000000,-115.409360000000007,1171.700000000000045,1171.700000000000045,12:35:06.000,BWL,J,Suspension,21 Nov 2007,,,
-115.446938,54.801635,,,"0017716",Canadian Natural Resources Limited(0HE9),54.801634999999997,-115.446938000000003,991.200000000000045,986.899999999999977,12:15:06.000,BWL,J,Issued,11 Sep 1959,,,
-115.433907,54.801124,,,"0017760",Canadian Natural Resources Limited(0HE9),54.801124000000002,-115.433907000000005,1003.100000000000023,999.100000000000023,10:15:06.000,BWL,J,Abandoned,21 May 1992,,,./1.png
-115.523431,54.954121,,,"0017796",Acquisition Oil Corp.(A7N3),54.954121000000001,-115.523431000000002,955.200000000000045,951.000000000000000,04:07:06.000,BWL,J,Abandoned,11 Jun 1998,,,./1.png
-115.48499,54.787199,,,"0017822",Canadian Natural Resources Limited(0HE9),54.787199000000001,-115.484989999999996,1075.599999999999909,1071.700000000000045,10:08:06.000,BWL,J,Issued,25 Sep 1959,,,
-115.510188,54.743202,,,"0017827",Canadian Natural Resources Limited(0HE9),54.743201999999997,-115.510187999999999,1230.200000000000045,1226.200000000000045,12:30:06.000,BWL,J,Suspension,22 Aug 2008,,,
-115.510188,54.736244,,,"0017829",Canadian Natural Resources Limited(0HE9),54.736243999999999,-115.510187999999999,1190.900000000000091,1186.599999999999909,04:30:06.000,BWL,J,Suspension,06 Dec 2018,,,
-115.497745,54.743209,,,"0017830",Canadian Natural Resources Limited(0HE9),54.743209000000000,-115.497744999999995,1222.599999999999909,1218.900000000000091,10:30:06.000,BWL,J,Issued,28 Sep 1959,,,
-115.497035,54.758066,,,"0017831",Canadian Natural Resources Limited(0HE9),54.758065999999999,-115.497034999999997,1282.900000000000091,1279.599999999999909,10:31:06.000,BWL,J,Suspension,24 Jun 2017,,,
